tid,toi,tfopwg_disp
379286801,1115.01,APC
304100538,1116.01,PC
295541511,1117.01,PC
90919952,1118.01,FP
261369656,1119.01,APC
388104525,112.01,KP
143257766,1120.01,FP
24094603,1121.01,FP
304774444,1122.01,FP
469782185,1123.01,APC
128790976,1124.01,APC
80166433,1125.01,PC
405862830,1126.01,FP
269450900,1127.01,FP
425721385,1128.01,FP
91576611,1129.01,FP
97409519,113.01,KP
254113311,1130.01,CP
254113311,1130.02,CP
198213332,1131.01,PC
267489265,1132.01,FP
69997672,1133.01,FP
122220263,1134.01,FP
154872375,1135.01,CP
142276270,1136.01,CP
142276270,1136.02,CP
142276270,1136.03,CP
142276270,1136.04,CP
89389197,1137.01,PC
370133522,1078.01,CP
379240073,1079.01,PC
289793076,108.01,KP
161032923,1080.01,CP
253728991,1081.01,PC
261108236,1082.01,PC
322270620,1083.01,PC
380589029,1084.01,KP
381979901,1085.01,APC
468148930,1086.01,PC
426077080,1087.01,FP
343648136,1088.01,FA
129319156,1089.01,FP
29344935,109.01,KP
361034196,1090.01,FP
193413306,1091.01,PC
387079085,1092.01,FP
382331352,1093.01,FP
136274063,1094.01,APC
375223080,1095.01,PC
375225453,1096.01,FP
360630575,1097.01,CP
360630575,1097.02,CP
383390264,1098.01,CP
290348383,1099.01,CP
281459670,110.01,KP
318608749,1100.01,FP
271581073,1101.01,FP
311890977,1102.01,FP
351603103,1103.01,PC
451599528,1104.01,FP
274151135,1105.01,PC
384513078,1106.01,PC
394561119,1107.01,CP
1717732429,1172.01,FP
232967440,1173.01,CP
154089169,1174.01,CP
30329585,1175.01,FP
230088370,1176.01,PC
169177766,1177.01,FP
359496368,1178.01,FP
148914726,1179.01,APC
266980320,118.01,CP
158002130,1180.01,CP
229510866,1181.01,CP
341544930,1182.01,FP
258777137,1183.01,FP
233087860,1184.01,CP
83210867,1185.01,FP
289539327,1186.01,FP
372757221,1187.01,PC
15247229,1188.01,FP
112026224,1189.01,PC
278683844,119.01,PC
278683844,119.02,PC
287196418,1190.01,APC
237185205,1191.01,FP
158276040,1192.01,APC
89643259,1193.01,FP
147950620,1194.01,CP
24364065,1195.01,FP
69068526,1196.01,PC
92677094,1197.01,PC
203189770,1198.01,KP
99869022,1199.01,CP
394137592,120.01,CP
288185138,1200.01,FP
29960110,1201.01,CP
327017634,1202.01,FP
23434737,1203.01,CP
467666275,1204.01,PC
110428269,1138.01,FP
202563254,1139.01,PC
25155310,114.01,KP
320525204,1140.01,FP
159510109,1141.01,FP
284450803,1142.01,FP
160268701,1143.01,FP
28230919,1144.01,KP
350995812,1145.01,FP
21755546,1146.01,FP
288391628,1147.01,FP
349827430,1148.01,KP
117789567,1149.01,APC
281541555,115.01,KP
16740101,1150.01,KP
69679391,1151.01,KP
237184773,1152.01,FA
154840461,1153.01,APC
459970307,1154.01,PC
161450762,1155.01,FP
117256577,1156.01,FP
147576037,1157.01,FP
379931600,1158.01,FP
48188920,1159.01,FP
238176110,116.01,KP
89510024,1160.01,FP
158324245,1161.01,KP
13419950,1162.01,PC
375542276,1163.01,PC
16102323,1164.01,FP
458478250,1165.01,KP
138361973,1166.01,FP
232967666,1167.01,FP
41330864,1168.01,FP
302518439,1169.01,PC
322307342,117.01,KP
294176967,1170.01,FP
101929303,1171.01,FP
287776397,1205.01,PC
308034948,1206.01,FP
364393429,1207.01,PC
273985865,1208.01,PC
273985865,1208.02,PC
273985865,1208.03,PC
30037565,1209.01,PC
207081058,121.01,APC
33878688,1210.01,FP
50312495,1211.01,PC
389924075,1212.01,PC
399144800,1213.01,FP
451606970,1214.01,PC
453260209,1215.01,PC
141527965,1216.01,PC
248092710,1217.01,PC
294781547,1218.01,PC
294981566,1219.01,PC
231702397,122.01,CP
319259194,1220.01,APC
349095149,1221.01,CP
374997123,1222.01,PC
382437043,1223.01,FP
299798795,1224.01,CP
299798795,1224.02,CP
150428703,1225.01,PC
150428703,1225.02,PC
177115354,1226.01,PC
360156606,1227.01,CP
300038935,1228.01,CP
140760434,1229.01,APC
290131778,123.01,CP
287156968,1230.01,CP
447061717,1231.01,CP
364395234,1232.01,CP
260647166,1233.01,CP
260647166,1233.02,CP
260647166,1233.03,CP
260647166,1233.04,CP
90504905,1234.01,FP
103633434,1235.01,CP
120757718,1236.01,KP
120960812,1237.01,KP
120960812,1237.02,KP
153951307,1238.01,CP
153951307,1238.02,CP
154716798,1239.01,PC
29831208,124.01,APC
365938305,1262.01,PC
406672232,1263.01,PC
416195870,1264.01,PC
424865156,1265.01,KP
467179528,1266.01,CP
467179528,1266.02,CP
158561566,1267.01,KP
142394656,1268.01,CP
198241702,1269.01,CP
198241702,1269.02,PC
234523599,127.01,CP
237200747,1270.01,FP
286923464,1271.01,KP
417948359,1272.01,CP
445859771,1273.01,CP
459969957,1274.01,PC
13499636,1275.01,FA
43064903,1276.01,FA
153949511,1277.01,FA
153949511,1277.02,PC
163539739,1278.01,CP
224297258,1279.01,CP
391949880,128.01,CP
230017324,1280.01,PC
232971294,1281.01,PC
236445129,1282.01,KP
266593143,1283.01,KP
267561446,1284.01,FP
274662200,1285.01,FP
277507814,1286.01,APC
352764091,1287.01,PC
365733349,1288.01,CP
408203470,1289.01,FP
158170594,1240.01,KP
159107668,1241.01,PC
198212955,1242.01,PC
219698776,1243.01,CP
219850915,1244.01,CP
229781583,1245.01,PC
230127302,1246.01,CP
230127302,1246.02,CP
230127302,1246.03,CP
230127302,1246.04,CP
232540264,1247.01,CP
232612416,1248.01,CP
232976128,1249.01,CP
52368076,125.01,CP
52368076,125.02,CP
52368076,125.03,CP
52368076,125.04,PC
233059608,1250.01,FA
233120979,1251.01,APC
233211762,1252.01,PC
233684822,1253.01,FP
236714379,1254.01,APC
237222864,1255.01,CP
274762761,1256.01,FP
278348461,1257.01,KP
288132261,1258.01,PC
288735205,1259.01,CP
70440470,126.01,KP
355867695,1260.01,CP
355867695,1260.02,CP
355867695,1260.03,CP
356311210,1261.01,PC
240450679,1322.01,APC
256886630,1323.01,FP
266688542,1324.01,FP
274942910,1325.01,FP
275111900,1326.01,FP
312083267,1327.01,APC
330332501,1328.01,FP
345996087,1329.01,FP
219338557,133.01,PC
357457104,1330.01,FP
387664866,1331.01,FP
387664868,1332.01,FP
395171208,1333.01,CP
42123111,1334.01,FP
89759617,1335.01,FP
92783821,1336.01,FP
160708862,1337.01,KP
260128333,1338.01,CP
269701147,1339.01,CP
269701147,1339.02,CP
269701147,1339.03,CP
234994474,134.01,CP
233681149,1340.01,FP
233390838,1341.01,FP
256621916,1342.01,FP
358631536,1343.01,FP
1400770435,1344.01,FP
160487753,1345.01,PC
219852882,1346.01,CP
219852882,1346.02,CP
229747848,1347.01,CP
229747848,1347.02,CP
229770036,1348.01,FP
272635712,1349.01,APC
267263253,135.01,CP
233953967,1350.01,PC
201248411,129.01,CP
417676622,1290.01,KP
198186769,1291.01,PC
199688472,1292.01,FP
202504234,1293.01,PC
219015370,1294.01,CP
219852584,1295.01,CP
219854185,1296.01,CP
229536616,1297.01,FP
237104103,1298.01,CP
258777134,1299.01,FP
263003176,130.01,CP
293687315,1300.01,KP
356867115,1301.01,CP
356867115,1301.02,PC
441797803,1302.01,PC
185405474,1303.01,FP
186000935,1304.01,FP
232679662,1305.01,FP
233735068,1306.01,FP
236815160,1307.01,APC
277014266,1308.01,FP
287190564,1309.01,FP
235037761,131.01,APC
294179389,1310.01,FP
378159598,1311.01,APC
405904232,1312.01,FP
11111899,1313.01,FP
136848581,1314.01,FP
137284119,1315.01,FP
15565627,1316.01,FP
165523947,1317.01,FP
167092385,1318.01,PC
167098530,1319.01,FP
89020549,132.01,CP
167403519,1320.01,PC
195199644,1321.01,FP
343019899,1386.01,CP
343442463,1387.01,FP
346338552,1388.01,KP
353038705,1389.01,PC
62483237,139.01,CP
365389353,1390.01,FP
389182138,1391.01,FP
416987878,1392.01,FP
430528566,1393.01,FP
431156009,1394.01,FP
468472950,1395.01,FP
468845640,1396.01,FP
64553698,1397.01,FP
66445643,1398.01,APC
66783360,1399.01,FP
140068425,140.01,APC
258801269,1400.01,FP
259126549,1401.01,FP
259129875,1402.01,FP
328750515,1403.01,FP
352239069,1404.01,PC
352239069,1404.02,PC
387834907,1405.01,FP
231736113,1406.01,CP
69747919,1407.01,KP
364186197,1408.01,CP
364186197,1408.02,KP
115771549,1409.01,APC
403224672,141.01,CP
199444169,1410.01,CP
116483514,1411.01,CP
116483734,1412.01,APC
119700084,1413.01,PC
125442121,1414.01,APC
148782377,1415.01,PC
158025009,1416.01,CP
1718201850,1351.01,APC
336740528,1352.01,APC
279177746,1353.01,FP
365683032,1354.01,FP
372264750,1355.01,PC
277566483,1356.01,PC
357972447,1357.01,FP
275501623,1358.01,FP
416624606,1359.01,FP
410153553,136.01,CP
330468175,1360.01,FP
277447970,1361.01,PC
395142888,1362.01,PC
230017325,1363.01,FP
26880783,1364.01,PC
367099243,1365.01,FP
120602501,1366.01,FP
129539786,1367.01,FP
136971594,1368.01,FP
155005217,1369.01,FP
176957796,137.01,FA
155114483,1370.01,FP
162130054,1371.01,APC
164150539,1372.01,FP
176899385,1373.01,KP
190430205,1374.01,FP
190442486,1375.01,FP
190743990,1376.01,FP
240613164,1377.01,FP
249812036,1378.01,FP
252490659,1379.01,APC
277683130,138.01,APC
274170255,1380.01,FP
275722992,1381.01,PC
276360911,1382.01,FA
313506357,1383.01,FP
328167090,1384.01,FP
329864959,1385.01,FP
164173105,1417.01,CP
224600500,1418.01,FA
311035838,1419.01,KP
425934411,142.01,PC
321857016,1420.01,CP
329277372,1421.01,FP
333473672,1422.01,CP
346418409,1423.01,FP
418959198,1424.01,FP
350132371,1425.01,APC
128501004,1426.01,FP
2041563029,1427.01,FP
377304435,1428.01,FP
138968089,1429.01,FP
25375553,143.01,KP
293954617,1430.01,CP
375506058,1431.01,CP
256783784,1432.01,PC
13684720,1433.01,APC
138588540,1434.01,PC
153976959,1435.01,PC
154383539,1436.01,PC
198356533,1437.01,CP
229650439,1438.01,CP
229650439,1438.02,CP
232982558,1439.01,CP
261136679,144.01,CP
233617847,1440.01,PC
233617847,1440.02,PC
233951353,1441.01,PC
235683377,1442.01,CP
237232044,1443.01,CP
258514800,1444.01,CP
259172391,1445.01,PC
259172391,1445.02,PC
294471966,1446.01,PC
294471966,1446.02,PC
298073824,1447.01,FA
343628284,1448.01,CP
356158613,1449.01,FA
356158613,1449.02,PC
265612438,145.01,PC
377293776,1450.01,CP
417931607,1451.01,CP
420112589,1452.01,CP
198390247,1453.01,CP
198390247,1453.02,CP
294179385,1454.01,PC
387259626,1455.01,APC
199376584,1456.01,CP
176860064,1457.01,APC
377191482,1485.01,FA
233541860,1486.01,FP
459978312,1487.01,FA
198457103,1488.01,FA
219751469,1489.01,FA
260985861,149.01,PC
283474780,1490.01,APC
53875855,1491.01,PC
354594208,1492.01,FP
15692883,1493.01,CP
411608801,1494.01,CP
431148743,1495.01,FP
384045439,1496.01,FP
371673488,1497.01,FP
316402246,1498.01,FP
414870287,1499.01,FP
271893367,150.01,CP
377420580,1500.01,FP
329145325,1501.01,FP
410528770,1502.01,FP
428065977,1503.01,FP
326114850,1504.01,FP
331034236,1505.01,FP
64836837,1506.01,FP
430677414,1507.01,FP
415741431,1508.01,FP
272828463,1509.01,FP
382302241,151.01,FP
377739433,1510.01,FP
376682699,1511.01,FP
434718964,1512.01,FP
269509393,1513.01,FP
270238522,1514.01,FP
470709084,1515.01,FP
376637093,1516.01,CP
455962313,1517.01,FP
427761355,1518.01,CP
272049972,1519.01,FP
191284318,1458.01,KP
16920150,1459.01,FA
355636844,146.01,FP
17005768,1460.01,FP
44631965,1461.01,APC
188768068,1462.01,CP
190998418,1463.01,KP
229944666,1464.01,PC
236887394,1465.01,KP
237086564,1466.01,PC
240968774,1467.01,CP
243185500,1468.01,CP
243185500,1468.02,CP
283722336,1469.01,KP
283722336,1469.02,KP
220435095,147.01,FP
284441182,1470.01,CP
306263608,1471.01,CP
306263608,1471.02,CP
306955329,1472.01,CP
352413427,1473.01,CP
427654774,1474.01,FP
431514478,1475.01,PC
432549364,1476.01,KP
240681314,1477.01,KP
409794137,1478.01,CP
421308357,1479.01,FP
393940766,148.01,CP
335483600,1480.01,FP
197650870,1481.01,FP
252616865,1482.01,PC
452803785,1483.01,FP
67309890,1484.01,FP
327341626,1553.01,APC
299158887,1554.01,KP
441732151,1555.01,FP
405794804,1556.01,FP
320506985,1557.01,FP
117322779,1558.01,FP
241040309,1559.01,PC
220518305,156.01,FP
241076290,1560.01,PC
245462406,1561.01,FP
249862365,1562.01,FP
249945230,1563.01,PC
250724252,1564.01,APC
251384275,1565.01,PC
256414077,1566.01,FP
259151170,1567.01,FP
284050395,1568.01,FP
285666479,1569.01,FP
140691463,157.01,CP
285674856,1570.01,FP
285677945,1571.01,FP
292321872,1572.01,FP
302773669,1573.01,KP
307111282,1574.01,FP
316254876,1575.01,FP
327011842,1576.01,FP
332154944,1577.01,FP
348135793,1578.01,FP
354400186,1579.01,FP
403136413,158.01,FP
354469661,1580.01,KP
370759867,1581.01,FP
374400599,1582.01,FP
403256331,1583.01,FP
418987806,1584.01,FP
444415148,1585.01,FP
445144327,1586.01,PC
403287048,152.01,FP
269238073,1520.01,FP
366074069,1521.01,FP
367102581,1522.01,FP
387413037,1523.01,FP
314338017,1524.01,FP
276380902,1525.01,FP
313761775,1526.01,FP
202375913,1527.01,PC
285543785,1528.01,APC
312259170,1529.01,FP
231081369,153.01,APC
312469860,1530.01,FP
312678993,1531.01,APC
327579226,1532.01,PC
345143460,1533.01,CP
345143460,1533.02,PC
354600221,1534.01,FP
420288086,1535.01,FP
445137888,1536.01,FP
173612049,1537.01,PC
177244357,1538.01,PC
252636888,1539.01,FP
389525208,154.01,FP
318746829,1540.01,FP
319068154,1541.01,FP
367607434,1542.01,FA
431585347,1543.01,FP
455791689,1544.01,PC
127425841,1545.01,FP
194203348,1546.01,PC
409520860,1547.01,FP
440100539,1548.01,FA
191146556,1549.01,FP
129637892,155.01,PC
241065596,1550.01,FP
288348498,1551.01,PC
326919774,1552.01,FP
378291076,1620.01,PC
387260717,1621.01,PC
388076005,1622.01,FP
407394748,1623.01,FP
461387302,1624.01,FP
470852531,1625.01,FP
157586003,1626.01,KP
424435940,1627.01,KP
284475976,1628.01,KP
310003988,1629.01,KP
179317684,163.01,CP
317597583,1630.01,CP
29054413,1631.01,APC
51024887,1632.01,FP
165551882,1633.01,FA
201186294,1634.01,CP
230086768,1635.01,FP
269892793,1636.01,FP
286355915,1637.01,FP
312862941,1638.01,PC
348673213,1639.01,FP
79395355,164.01,FP
396562848,1640.01,CP
422923265,1641.01,PC
229940491,1642.01,APC
298647682,1643.01,PC
22843856,1644.01,FP
184679932,1645.01,FP
387527558,1646.01,FA
154927364,1647.01,FP
376353509,1648.01,CP
116608612,1649.01,FP
350743714,165.01,FP
122485078,1650.01,FP
458914949,1587.01,FP
50120414,1588.01,PC
52041724,1589.01,FP
394657039,159.01,CP
71854745,1590.01,FP
82010657,1591.01,FP
186599508,1592.01,FP
192372961,1593.01,FP
201154493,1594.01,FP
385105624,1595.01,FP
431899140,1596.01,FP
68152139,1597.01,FP
67418624,1598.01,PC
129979528,1599.01,KP
253917293,160.01,FP
187029841,1600.01,FP
139375960,1601.01,CP
129991079,1602.01,FA
73448352,1603.01,KP
118301361,1604.01,FP
101037590,1605.01,CP
125735470,1606.01,APC
26433869,1607.01,FP
138017750,1608.01,FP
229951289,1609.01,FA
348770361,161.01,PC
219776325,1610.01,PC
264678534,1611.01,CP
268403451,1612.01,KP
272625214,1613.01,FP
317397615,1614.01,FP
317507345,1615.01,FP
322054600,1616.01,PC
322202434,1617.01,FP
376838000,1618.01,FP
377144784,1619.01,FP
99493790,162.01,APC
138168780,1651.01,KP
154867950,1652.01,FP
156724719,1653.01,PC
258829450,1654.01,PC
266500992,1655.01,PC
267694283,1656.01,APC
27677846,1657.01,FP
286561122,1658.01,FP
288631580,1659.01,CP
288631580,1659.02,PC
147203645,166.01,PC
311121985,1660.01,FP
312122956,1661.01,FP
339538183,1662.01,FP
353367071,1663.01,FP
353782445,1664.01,PC
354006740,1665.01,FP
368536386,1666.01,FP
409183335,1667.01,FP
417705690,1668.01,FP
428679607,1669.01,CP
149990841,167.01,PC
441739020,1670.01,CP
441739020,1670.02,CP
441739020,1670.03,PC
459903429,1671.01,FA
468828873,1672.01,FP
470315428,1673.01,FP
73104318,1674.01,FP
81831095,1675.01,PC
8400842,1676.01,KP
87090944,1677.01,PC
96291218,1678.01,FP
9837861,1679.01,FP
369457671,168.01,PC
259168516,1680.01,CP
321041369,1681.01,PC
367366318,1682.01,KP
58542531,1683.01,CP
85031598,1684.01,PC
28900646,1685.01,CP
102672709,1686.01,PC
103448870,1687.01,PC
121966220,1688.01,FP
198384408,1689.01,FA
183120439,169.01,CP
267574918,1690.01,CP
268334473,1691.01,CP
288636342,1692.01,PC
288636342,1692.02,PC
353475866,1693.01,CP
396740648,1694.01,CP
422756130,1695.01,CP
470381900,1696.01,CP
130181866,1726.02,CP
241225337,1727.01,PC
285048486,1728.01,CP
298666530,1729.01,FP
270341214,173.01,PC
270341214,173.02,PC
318022259,1730.01,CP
318022259,1730.02,CP
318022259,1730.03,CP
371234684,1731.01,KP
470987100,1732.01,PC
53427308,1733.01,FP
224596152,1734.01,PC
365673804,1735.01,PC
408618999,1736.01,CP
233009109,1737.01,PC
104208182,1738.01,PC
159418353,1739.01,CP
425997655,174.01,CP
425997655,174.02,CP
425997655,174.03,CP
425997655,174.04,CP
425997655,174.05,CP
174041208,1740.01,PC
198206613,1741.01,PC
219857012,1742.01,CP
219860288,1743.01,CP
229455001,1744.01,CP
232635922,1745.01,PC
232650365,1746.01,PC
232650365,1746.02,PC
233071822,1747.01,PC
233071926,1748.01,PC
1884091865,1697.01,PC
190223929,1698.01,PC
22705558,1699.01,PC
394698182,170.01,PC
23650642,1700.01,FP
274215536,1701.01,PC
371210825,1702.01,FP
453387619,1703.01,PC
95129101,1704.01,FP
137500798,1705.01,FP
230377505,1706.01,PC
230377505,1706.02,PC
240148934,1707.01,FP
241173474,1708.01,APC
29119552,1709.01,PC
309257814,171.01,PC
309257814,171.02,FP
445805961,1710.01,CP
461662295,1711.01,FP
67926921,1712.01,FP
15863518,1713.01,PC
239154970,1714.01,KP
142090065,1715.01,FP
14336130,1716.01,CP
149833117,1717.01,PC
257241363,1718.01,PC
293617835,1719.01,PC
29857954,172.01,CP
356473034,1720.01,KP
51234631,1721.01,KP
85242435,1722.01,PC
71431780,1723.01,CP
81212286,1724.01,FP
86396382,1725.01,KP
130181866,1726.01,CP
85293053,1772.02,PC
332064670,1773.01,KP
4897275,1774.01,CP
9348006,1775.01,CP
21535395,1776.01,CP
29191624,1777.01,CP
39699648,1778.01,CP
67646988,1779.01,KP
251848941,178.01,CP
251848941,178.02,CP
251848941,178.03,CP
251848941,178.04,KP
251848941,178.05,KP
99834717,1780.01,KP
137881699,1781.01,KP
160045097,1782.01,CP
160045097,1782.02,CP
160045097,1782.03,PC
229938290,1783.01,PC
241196395,1784.01,APC
230386259,1785.01,PC
86280613,1786.01,FP
372730331,1787.01,PC
450327768,1788.01,FP
172518755,1789.01,CP
207141131,179.01,CP
310981412,1790.01,FA
233684293,1791.01,FA
29191596,1792.01,PC
304142124,1793.01,CP
286916251,1794.01,CP
135083444,1795.01,FP
138819293,1796.01,KP
233602827,1749.01,CP
233602827,1749.02,CP
233602827,1749.03,KP
307210830,175.01,CP
307210830,175.02,CP
307210830,175.03,CP
237099296,1750.01,PC
287080092,1751.01,CP
287139872,1752.01,CP
287139872,1752.02,CP
289580577,1753.01,CP
332477926,1754.01,PC
356978132,1755.01,APC
364074068,1756.01,PC
367753709,1757.01,PC
367753709,1757.02,PC
367858035,1758.01,CP
408636441,1759.01,CP
272086159,176.01,FP
420112587,1760.01,FP
424391516,1761.01,PC
435680451,1762.01,PC
441739871,1763.01,PC
1551345500,1764.01,PC
272672133,1765.01,PC
67666096,1766.01,KP
8767448,1767.01,KP
137906197,1768.01,CP
287225295,1769.01,APC
262530407,177.01,CP
457138169,1770.01,FP
252479260,1771.01,KP
85293053,1772.01,CP
393831507,1820.01,CP
82308728,1821.01,KP
9392421,1822.01,APC
142381532,1823.01,CP
142387023,1824.01,CP
229750058,1825.01,PC
229400092,1826.01,CP
390651552,1827.01,CP
232982938,1828.01,CP
235905185,1829.01,PC
183979262,183.01,FP
20182165,1830.01,FP
27194429,1831.01,APC
307956397,1832.01,PC
61098812,1833.01,KP
71612483,1834.01,APC
347332255,1835.01,PC
347332255,1835.02,PC
207468071,1836.01,CP
207468071,1836.02,FP
144441148,1837.01,FP
162689341,1838.01,KP
381714186,1839.01,PC
300871545,184.01,FP
165987272,1840.01,KP
168699373,1841.01,KP
404505029,1842.01,CP
258871793,1843.01,FP
198108326,1844.01,KP
272758199,1845.01,PC
198385543,1846.01,CP
54002556,1847.01,KP
54002556,1847.02,PC
219824469,1848.01,FP
368435330,1797.01,CP
368435330,1797.02,CP
198153540,1798.01,CP
198153540,1798.02,CP
8967242,1799.01,CP
51912829,180.01,APC
17993892,1800.01,KP
119584412,1801.01,CP
138762614,1802.01,PC
144401492,1803.01,PC
144401492,1803.02,PC
148679712,1804.01,PC
165763244,1805.01,PC
166648874,1806.01,CP
166648874,1806.02,PC
166648874,1806.03,PC
180695581,1807.01,CP
307734817,1808.01,FP
347329162,1809.01,KP
76923707,181.01,CP
373693175,1810.01,KP
376524552,1811.01,CP
207425167,1812.01,PC
207425167,1812.02,PC
207425167,1812.03,PC
377290815,1813.01,FP
160440924,1814.01,PC
233720539,1815.01,FP
237108272,1816.01,FA
285094173,1817.01,PC
330799746,1818.01,PC
341815767,1819.01,FA
76989773,182.01,APC
1716467085,2149.01,PC
231912935,215.01,PC
230267547,2150.01,FP
23389848,2151.01,FP
395393265,2152.01,CP
406855039,2153.01,FP
428787891,2154.01,CP
461591646,2155.01,CP
258402425,2156.01,FP
298495970,2157.01,FP
342642208,2158.01,CP
270515566,2159.01,APC
55652896,216.01,CP
55652896,216.02,CP
284477310,2160.01,PC
366563452,2161.01,FP
284564230,2162.01,FP
2760219,2382.01,PC
20897611,2383.01,APC
382602147,2384.01,CP
231850364,2385.01,PC
32487566,2386.01,KP
237885040,2387.01,APC
382625239,2388.01,PC
89544985,2389.01,PC
9725627,239.01,KP
369965258,2390.01,PC
299897516,2391.01,PC
149349867,2392.01,PC
149349867,2392.02,PC
149349867,2392.03,PC
231071138,2393.01,PC
144297844,2394.01,PC
231076038,2618.01,PC
31943299,2619.01,PC
70513361,262.01,CP
394346647,2620.01,PC
388202128,2621.01,PC
382259755,2622.01,PC
403288821,2623.01,FP
349410350,2624.01,PC
308396509,2625.01,PC
300604770,2626.01,PC
262829328,2627.01,PC
260541432,2628.01,PC
259901731,2629.01,PC
120916706,263.01,CP
391900348,2630.01,PC
140067837,2631.01,PC
231703293,2632.01,FP
386131764,2633.01,PC
325172035,1939.01,FP
211438925,194.01,KP
7413227,1940.01,APC
167009792,1941.01,FP
308919449,1942.01,FP
382980571,1943.01,PC
461080504,1944.01,FP
357536526,1945.01,FP
127315102,1946.01,FP
460140752,1947.01,FP
31268146,1948.01,FP
334125713,1949.01,PC
230982885,195.01,KP
327663613,1950.01,FP
356590734,1951.01,PC
394509844,1952.01,FP
242536549,1953.01,FP
466113537,1954.01,PC
43429656,2163.01,PC
49967354,2164.01,FP
73560357,2165.01,APC
233680651,2166.01,PC
160162987,2167.01,FP
364075352,2168.01,FP
8516795,2169.01,PC
260043723,217.01,FP
154741689,2170.01,PC
75656058,2171.01,FA
76197937,2172.01,FA
293567206,2173.01,FP
159815224,2174.01,PC
405717754,2175.01,KP
123495874,2176.01,KP
123233041,2177.01,KP
164892194,2178.01,KP
237913194,2179.01,CP
144124187,2395.01,PC
333734769,2396.01,APC
306337838,2397.01,PC
322807675,2398.01,PC
219701535,2399.01,PC
101948569,240.01,PC
260849386,2400.01,FP
11521555,2401.01,PC
1525480,2402.01,PC
293435336,2403.01,KP
142087638,2404.01,PC
142087638,2404.02,FP
142087638,2404.03,FP
231297123,2405.01,PC
212957629,2406.01,CP
153078576,2407.01,CP
67630845,2408.01,PC
318812447,2634.01,PC
358557578,2635.01,PC
119925436,2636.01,PC
349408306,2637.01,APC
458342769,2638.01,PC
98753307,2639.01,PC
122612091,264.01,KP
135036669,2640.01,PC
162802770,2641.01,CP
448589187,2642.01,KP
152852327,2643.01,KP
385332171,2644.01,APC
372818426,2645.01,PC
349966879,2646.01,APC
234527228,2647.01,PC
231833236,2648.01,PC
230980206,2649.01,PC
166184426,1955.01,FP
334911765,1956.01,FP
302659412,1957.01,FP
356747847,1958.01,PC
400323948,1959.01,FP
234519192,196.01,PC
318828309,1960.01,PC
179319057,1961.01,PC
141663464,1962.01,FP
190271688,1963.01,FP
242083025,1964.01,FP
295354126,1965.01,FP
242120884,1966.01,PC
320079492,1967.01,APC
210445631,1968.01,APC
293708935,1969.01,FP
441462736,197.01,CP
32090583,218.01,PC
32090583,218.02,PC
298663873,2180.01,CP
233068569,2181.01,PC
268823307,2182.01,KP
1715469662,2183.01,PC
176956893,2184.01,CP
355096431,2185.01,PC
238171173,2186.01,PC
270472265,2187.01,PC
260797169,2188.01,PC
270342589,2189.01,PC
260609205,219.01,FP
389421473,2190.01,PC
262471759,2191.01,PC
277890574,2192.01,PC
321068176,2409.01,FA
77031414,241.01,KP
