host,label,tic_id,n_sectors,sectors
Kepler-31,1,270788519,7,"14,15,40,74,75,81,82"
Kepler-396,1,27769688,13,"14,15,40,41,54,55,56,74,75,76,81,82,83"
Kepler-387,1,158559417,10,"15,40,41,53,54,55,74,75,80,82"
Kepler-641,1,63006978,9,"14,40,41,54,55,74,75,81,82"
Kepler-1757,1,273378480,2,"81,82"
Kepler-1956,1,27233725,12,"14,15,40,54,55,56,74,75,76,81,82,83"
GJ_86,1,631746155,8,"2,3,29,30,69,96,97,104"
K2-242,1,152701771,4,"9,36,46,91"
HATS-76,1,170849515,4,"5,31,32,98"
Kepler-1378,1,169459324,5,"14,15,54,55,75"
KOI-12,1,169461816,7,"14,15,54,55,74,81,82"
Kepler-1851,1,352013607,2,"80,82"
Kepler-334,1,158394479,12,"14,15,26,40,41,53,54,55,74,75,80,82"
Kepler-1813,1,424864367,6,"14,40,54,55,81,82"
Kepler-879,1,27639443,11,"14,15,41,54,55,74,75,76,81,82,83"
K2-188,1,175236511,6,"44,45,46,71,72,1751"
Kepler-125,1,273873718,10,"14,15,41,54,56,74,75,76,81,82"
Kepler-393,1,159580535,8,"15,40,41,55,74,75,80,81"
Kepler-615,1,123492903,12,"14,26,40,41,53,54,55,74,75,80,81,82"
Kepler-306,1,121660143,6,"40,41,54,55,80,81"
Kepler-1369,1,120686458,8,"14,26,40,41,53,54,80,81"
Kepler-354,1,120578185,8,"14,26,40,41,53,54,80,81"
TOI-1232,1,364395234,36,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,67,68,69,87,88,89,90,94,95,96,97"
Kepler-789,1,184300256,8,"14,41,54,55,74,75,81,82"
K2-376,1,117414377,6,"21,44,45,46,72,1751"
Kepler-1182,1,272270522,7,"14,15,41,54,55,81,82"
HATS-59,1,437261733,6,"9,36,63,90,100,101"
WASP-119,1,388104525,146,
TOI-4137,1,417646390,29,
HATS-32,1,204317710,4,"2,29,69,96"
Kepler-474,1,63210391,10,"14,15,40,41,54,55,74,75,81,82"
Kepler-1961,1,120821730,2,"80,81"
TOI-757,1,130924120,4,"10,37,64,101"
Kepler-489,1,122607554,7,"14,40,41,54,55,74,75"
Kepler-68,1,417676622,65,
TOI-3688_A,1,245509452,3,"18,58,85"
HAT-P-38,1,285272237,3,"18,58,85"
HD_113337,1,142350121,9,"14,15,21,22,41,48,49,75,76"
NGTS-34,1,147277741,5,"9,10,36,63,99"
Kepler-129,1,164999822,12,"14,26,40,41,53,54,55,74,75,80,81,82"
Kepler-985,1,159305424,7,"15,40,41,54,80,81,82"
Kepler-560,1,239275865,9,"14,15,41,54,55,74,75,81,82"
HD_20781,1,651387463,2,"4,31"
TOI-5153,1,124029677,3,"6,33,98"
HD_213885,1,403224672,7,"1,27,28,68,95,103,104"
Kepler-1411,1,158218591,8,"26,40,41,53,55,80,81,82"
K2-80,1,242961495,7,"5,32,42,43,44,70,71"
Kepler-301,1,48419097,11,"14,15,26,40,41,55,74,75,80,81,82"
Kepler-11,1,169175503,9,"14,15,41,54,55,74,75,81,82"
HD_16417,1,122555698,5,"3,4,30,97,104"
L_98-59,1,307210830,152,
Kepler-1198,1,158843826,8,"15,40,41,53,55,80,81,82"
mu2_Sco,1,338105219,4,"12,39,66,93"
WASP-79,1,170634116,4,"4,5,31,32"
K2-248,1,176869982,4,"36,46,63,91"
WASP-90,1,459730973,2,"55,82"
TOI-1803,1,144401492,2,"22,49"
CoRoT-4,1,36440357,3,"6,33,87"
HD_13808,1,220022156,8,"2,3,29,30,69,96,97,104"
Kepler-333,1,137556197,9,"14,40,41,54,55,74,75,81,82"
Kepler-1864,1,394172692,9,"14,40,41,54,55,74,75,80,82"
2MASS_J22362452+4751425,1,200532605,7,"16,56,57,76,77,83,84"
HD_217786,1,248048656,3,"42,70,92"
HAT-P-24,1,440777904,42,
HD_4760,1,405337087,1,43
WASP-95,1,144065872,22,
K2-396,1,59088823,3,"43,44,71"
Kepler-1209,1,399953998,12,"14,15,26,40,41,54,55,74,75,80,81,82"
Kepler-600,1,164646661,8,"26,40,41,53,54,74,80,81"
KELT-15,1,268644785,9,"7,9,34,35,36,61,62,88,89"
Kepler-1763,1,138575125,9,"14,40,41,54,55,74,75,81,82"
RR_Cae,1,219244444,7,"3,4,5,30,32,97,98"
Kepler-1145,1,271539239,7,"14,15,40,41,54,81,82"
TOI-1691,1,268334473,60,
Kepler-1814,1,399821831,2,"80,81"
TIC_431899140,0,431899140,3,"18,59,86"
TIC_456305193,0,456305193,4,"20,47,60,74"
TOI-1279,1,224297258,37,
TIC_81212286,0,81212286,15,
TIC_80478272,0,80478272,3,"17,57,84"
TIC_77031413,0,77031413,4,"2,29,69,96"
TIC_241065596,0,241065596,4,"17,18,58,85"
TIC_287474726,0,287474726,5,"8,34,35,61,88"
TIC_449549170,0,449549170,7,"11,38,64,65,99,100,101"
TIC_355636844,0,355636844,10,"1,2,28,29,68,69,95,96,102,104"
TIC_201154493,0,201154493,2,"18,86"
TIC_152714791,0,152714791,4,"27,67,92,94"
TIC_281979481,0,281979481,16,"3,10,11,12,13,33,37,38,39,63,64,65,66,87,90,93"
TIC_177722855,0,177722855,3,"7,33,87"
TIC_138968089,0,138968089,10,"14,15,40,41,54,55,74,75,81,82"
TIC_435861696,0,435861696,3,"17,57,84"
TIC_327011842,0,327011842,4,"17,18,58,85"
TIC_46772529,0,46772529,4,"8,35,62,89"
TIC_398912927,0,398912927,6,"17,42,43,57,70,84"
TIC_147660201,0,147660201,6,"9,10,36,63,99,100"
TIC_300013921,0,300013921,42,"1,2,3,4,5,6,7,8,9,10,11,12,13,28,29,30,31,32,33,34,35,36,38,39,61,62,63,64,65,66,67,68,69,88,89,90,93,94,95,96,97,98"
TIC_403308915,0,403308915,6,"17,24,57,58,84,85"
TIC_118021229,0,118021229,5,"8,34,61,88,99"
TIC_407146536,0,407146536,9,"12,13,39,65,66,93,100,101,102"
TIC_399956873,0,399956873,17,"14,15,26,40,41,53,54,55,56,73,74,75,76,80,81,82,83"
TIC_377144784,0,377144784,9,"17,18,24,57,58,77,78,84,85"
TIC_461387302,0,461387302,7,"17,18,24,25,58,78,85"
TIC_219824469,0,219824469,5,"16,22,23,49,76"
TIC_5109298,0,5109298,3,"7,33,87"
TIC_358072664,0,358072664,10,"9,10,35,36,37,62,63,64,89,90"
TIC_452483795,0,452483795,4,"14,54,55,82"
TIC_418971787,0,418971787,6,"7,8,34,35,61,88"
TIC_305943739,0,305943739,5,"14,40,41,54,81"
TIC_268405086,0,268405086,15,"18,19,20,25,26,40,47,52,53,59,60,73,74,79,86"
TIC_259701242,0,259701242,16,"3,4,5,6,13,30,31,32,33,36,66,90,93,94,97,98"
TIC_153651591,0,153651591,5,"7,8,34,61,88"
TIC_239722954,0,239722954,6,"19,43,44,45,59,73"
TIC_344600402,0,344600402,5,"12,39,66,93,102"
TIC_470315428,0,470315428,2,"19,59"
TIC_95010343,0,95010343,6,"44,45,46,71,72,1751"
TIC_168871868,0,168871868,4,"4,5,31,32"
TIC_370759867,0,370759867,2,"18,85"
TIC_267527924,0,267527924,8,"7,8,34,35,62,87,88,89"
TIC_1976308113,0,1976308113,7,"15,16,56,75,76,82,83"
TIC_399613138,0,399613138,3,"55,81,82"
TIC_193628179,0,193628179,10,"25,26,40,52,53,54,74,78,79,80"
TIC_385624852,0,385624852,8,"9,35,36,37,62,63,89,90"
TIC_437740083,0,437740083,11,
TIC_408159788,0,408159788,3,"5,32,98"
TIC_435167167,0,435167167,8,"17,18,24,57,58,77,84,85"
TIC_95122849,0,95122849,15,
TIC_41227743,0,41227743,37,"1,2,3,4,5,6,7,8,10,11,13,27,28,30,31,32,33,34,35,36,37,38,62,63,64,66,67,68,69,88,89,90,93,94,95,96,97"
TIC_312469860,0,312469860,4,"17,18,58,85"
TIC_106997505,0,106997505,5,"7,34,61,87,88"
TIC_356461227,0,356461227,9,"9,10,35,36,37,62,64,89,90"
TIC_268439377,0,268439377,9,"7,8,9,34,35,61,62,88,89"
TIC_96246348,0,96246348,7,"6,7,33,34,61,87,88"
TIC_427348923,0,427348923,3,"6,32,98"
TIC_141405814,0,141405814,4,"7,34,61,88"
TIC_357538688,0,357538688,10,"9,10,11,36,37,62,63,64,89,90"
TIC_283015592,0,283015592,8,"17,18,24,57,58,77,78,85"
TIC_1449756,0,1449756,13,
TIC_302814895,0,302814895,6,"14,40,41,54,74,81"
TIC_313891529,0,313891529,4,"2,29,69,96"
TIC_48476907,0,48476907,6,"9,35,36,62,63,99"
TIC_149601557,0,149601557,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,30,31,32,33,34,35,36,37,38,61,62,64,65,67,68,69,87,88,89,90,94,95,96,97"
TIC_341805908,0,341805908,9,"12,39,65,66,93,100,101,102,103"
TIC_341444900,0,341444900,8,"16,17,56,57,76,77,83,84"
TIC_347098457,0,347098457,4,"7,34,61,88"
TIC_285524410,0,285524410,8,"7,8,34,35,61,62,88,89"
TIC_32830028,0,32830028,5,"6,32,33,87,98"
TIC_42015200,0,42015200,5,"3,29,30,97,104"
TIC_354151219,0,354151219,9,
TIC_17416749,0,17416749,4,"24,25,51,78"
TIC_416987878,0,416987878,5,"15,16,56,76,83"
TIC_141412823,0,141412823,43,"1,2,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97,98"
TIC_125894957,0,125894957,4,"7,34,61,88"
TIC_373729723,0,373729723,2,"23,49"
TIC_308034948,0,308034948,8,"10,11,37,38,64,99,100,101"
TIC_410528770,0,410528770,9,"16,17,24,56,57,76,77,83,84"
TIC_367102581,0,367102581,18,"17,18,19,20,24,25,26,52,53,58,59,60,73,77,78,79,85,86"
TIC_143032776,0,143032776,3,"36,63,100"
TIC_176831592,0,176831592,3,"4,31,97"
TIC_294176967,0,294176967,12,"14,15,16,41,54,55,56,75,76,81,82,83"
TIC_279605855,0,279605855,11,"17,18,24,25,52,57,58,77,78,84,86"
TIC_167418898,0,167418898,38,"1,2,3,4,5,6,7,8,9,11,12,13,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,66,67,69,87,88,89,93,94,96,98"
TIC_400395395,0,400395395,8,"8,9,35,36,62,63,89,90"
TIC_383666033,0,383666033,8,"8,9,10,35,36,37,63,90"
TIC_148659924,0,148659924,4,"7,34,61,88"
TIC_277014266,0,277014266,10,"14,15,16,41,55,56,75,76,82,83"
TIC_27844066,0,27844066,12,"14,15,40,41,54,55,56,74,76,81,82,83"
TIC_131581531,0,131581531,6,"7,8,34,35,61,88"
TIC_9033144,0,9033144,21,
TIC_55452495,0,55452495,44,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97,98"
TIC_301051430,0,301051430,5,"3,4,30,31,97"
TIC_365781372,0,365781372,3,"6,32,98"
TIC_138497780,0,138497780,7,"20,43,44,45,60,71,73"
TIC_31114545,0,31114545,4,"5,6,32,98"
TIC_308307606,0,308307606,21,"1,4,7,8,9,10,11,27,31,34,35,36,61,62,63,64,68,88,89,90,95"
TIC_449050248,0,449050248,3,"5,32,98"
TIC_232967666,0,232967666,10,"14,15,21,22,40,41,47,48,74,75"
TIC_267867517,0,267867517,12,"15,16,17,55,56,57,75,76,77,82,83,84"
TIC_151930063,0,151930063,6,"7,8,34,35,61,88"
TIC_255918903,0,255918903,9,"12,13,39,66,93,100,101,102,103"
TIC_290302097,0,290302097,11,"9,10,11,35,36,37,62,63,64,89,90"
TIC_174143743,0,174143743,4,"7,8,61,88"
TIC_284305328,0,284305328,7,"17,18,24,25,58,78,85"
TIC_48178229,0,48178229,4,"6,7,33,87"
TIC_87044036,0,87044036,5,"43,44,45,71,72"
TIC_26433869,0,26433869,9,"18,42,43,44,58,70,71,86,1751"
TIC_195199644,0,195199644,7,"15,41,55,56,75,76,82"
TIC_365389353,0,365389353,8,"15,16,56,57,76,77,83,84"
TIC_237185205,0,237185205,8,"14,26,40,41,53,54,80,81"
TIC_449050247,0,449050247,3,"5,32,98"
TIC_17129975,0,17129975,10,
TIC_219388773,0,219388773,47,
TIC_447283466,0,447283466,7,"9,10,36,37,63,90,99"
TIC_425220920,0,425220920,2,"7,87"
TIC_92783821,0,92783821,8,"14,15,41,54,55,75,81,82"
TIC_89759617,0,89759617,9,"14,15,41,54,55,74,75,81,82"
TIC_337129672,0,337129672,4,"42,43,70,71"
TIC_388130235,0,388130235,41,"1,3,4,5,6,7,8,9,10,11,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,97"
TIC_389999924,0,389999924,6,"10,11,63,64,90,99"
TIC_177612321,0,177612321,3,"7,33,87"
TIC_312259170,0,312259170,6,"17,18,24,58,78,85"
TIC_269509393,0,269509393,8,"17,24,57,58,77,78,84,85"
TIC_190081497,0,190081497,5,"8,35,61,62,89"
TIC_326114850,0,326114850,8,"16,17,56,57,76,77,83,84"
TIC_71854732,0,71854732,3,"18,58,85"
TIC_356235833,0,356235833,19,
TIC_182470056,0,182470056,8,"7,8,34,35,61,62,88,89"
TIC_438490744,0,438490744,6,"6,43,44,45,71,72"
TIC_133505138,0,133505138,6,"9,10,36,37,90,99"
TIC_383531859,0,383531859,7,"11,38,65,99,100,101,102"
TIC_187532854,0,187532854,4,"19,59,73,86"
TIC_400595342,0,400595342,8,"8,9,35,36,62,63,89,90"
TIC_468845640,0,468845640,8,"16,17,56,57,76,77,83,84"
TIC_145982812,0,145982812,8,"8,9,35,36,62,63,89,90"
TIC_78672342,0,78672342,3,"6,7,87"
TIC_91576611,0,91576611,2,"13,92"
TIC_335489455,0,335489455,8,"16,17,24,58,78,83,84,85"
TIC_239638934,0,239638934,4,"15,16,56,83"
TIC_114103134,0,114103134,4,"7,34,61,88"
TIC_253132689,0,253132689,8,"11,37,38,64,65,99,100,101"
TIC_419419534,0,419419534,6,"7,8,34,35,61,88"
TIC_316254876,0,316254876,4,"18,19,59,86"
TIC_33153766,0,33153766,8,"9,35,36,62,63,89,90,99"
TIC_89510024,0,89510024,8,"14,41,54,55,74,75,81,82"
TIC_376838000,0,376838000,10,"17,18,24,25,57,58,77,78,84,85"
TIC_333821572,0,333821572,4,"7,34,61,88"
TIC_441334829,0,441334829,7,"9,10,36,37,62,89,90"
TIC_457138169,0,457138169,9,
TIC_317507345,0,317507345,12,"18,19,24,25,52,58,59,73,78,79,85,86"
TIC_9837861,0,9837861,8,
TIC_73104318,0,73104318,2,"19,59"
TIC_11111899,0,11111899,8,"14,15,41,54,55,75,81,82"
TIC_257052211,0,257052211,5,"15,16,56,76,83"
TIC_255760319,0,255760319,23,"2,5,6,7,8,12,29,32,33,34,35,39,61,62,66,68,69,87,88,93,95,96,98"
TIC_429414530,0,429414530,11,"15,16,17,55,56,57,76,77,82,83,84"
TIC_175180796,0,175180796,4,"7,8,34,61"
TIC_40954422,0,40954422,9,"14,15,41,54,55,74,75,81,82"
TIC_274762761,0,274762761,9,"14,15,41,54,55,74,75,81,82"
TIC_178959058,0,178959058,4,"11,38,64,102"
TIC_382188882,0,382188882,38,"1,3,4,6,7,9,10,11,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69,87,88,90,93,94,95,96,97,98"
TIC_79395355,0,79395355,7,"1,27,67,68,94,95,104"
TIC_179033846,0,179033846,19,
TIC_192520375,0,192520375,5,"8,9,35,62,99"
TIC_164150539,0,164150539,3,"16,56,83"
TIC_71401634,0,71401634,1,31
TIC_304950588,0,304950588,7,"10,11,37,38,64,99,100"
TIC_207501148,0,207501148,18,"16,19,22,23,24,25,49,50,51,52,56,59,76,77,78,79,83,86"
TIC_271439193,0,271439193,9,"17,18,24,57,58,77,78,84,85"
TIC_233390838,0,233390838,15,"14,15,16,17,41,55,56,57,75,76,77,81,82,83,84"
TIC_451599528,0,451599528,8,"12,13,27,39,66,67,93,94"
TIC_312899686,0,312899686,6,"14,15,41,55,75,82"
TIC_268371979,0,268371979,3,"7,33,87"
TIC_350332997,0,350332997,33,"1,3,4,5,6,7,10,11,13,27,28,30,31,32,33,34,37,38,61,64,65,66,67,68,69,87,88,93,94,95,96,97,98"
TIC_437893926,0,437893926,8,"6,33,43,44,45,71,72,87"
TIC_404610583,0,404610583,2,"56,83"
TIC_229536616,0,229536616,5,"14,15,21,22,41"
TIC_446549905,0,446549905,7,"13,27,67,93,94,103,104"
TIC_110428269,0,110428269,5,"14,40,41,54,81"
TIC_107728509,0,107728509,4,"39,66,91,92"
TIC_318746829,0,318746829,5,"17,24,57,77,84"
TIC_354285962,0,354285962,11,"18,24,25,52,57,58,77,79,84,85,86"
TIC_23650642,0,23650642,8,
TIC_142090065,0,142090065,11,"19,20,25,26,40,52,53,59,60,79,86"
TIC_250386181,0,250386181,16,
TIC_374177909,0,374177909,4,"16,57,83,84"
TIC_328167090,0,328167090,7,"16,17,56,57,76,83,84"
TIC_282498590,0,282498590,16,
TIC_98286422,0,98286422,6,"7,33,34,61,87,88"
TIC_130191319,0,130191319,5,"7,8,34,61,88"
TIC_157568289,0,157568289,7,"6,7,33,34,61,87,88"
TIC_131979339,0,131979339,6,"7,8,34,35,61,88"
TIC_420645189,0,420645189,8,"19,25,26,52,59,73,79,86"
TIC_275248683,0,275248683,8,"8,35,45,46,62,72,89,1751"
TIC_238162973,0,238162973,11,"6,7,8,33,34,35,61,62,87,88,89"
TIC_452803785,0,452803785,8,"16,17,56,57,76,77,83,84"
TIC_436099179,0,436099179,7,"6,43,44,45,71,72,98"
TIC_349786918,0,349786918,45,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97,98"
