tic,kept_host,kept_side,dropped_host,dropped_side,dropped_label,straddled
328933398,TOI-1873,train,TIC_328933398,train,1,False
335102224,K2-191,train,TIC_335102224,train,1,False
350814495,Kepler-2000,train,TIC_350814495,train,1,False
352682207,TOI-4010,test,TIC_352682207,train,1,True
365158631,DMPP-7,train,TIC_365158631,train,1,False
368435330,HD_93963_A,train,TIC_368435330,train,1,False
377782363,Kepler-230,train,TIC_377782363,train,1,False
377782363,Kepler-230,train,TIC_377782363,train,1,False
377782430,Kepler-813,train,TIC_377782430,train,1,False
387518186,LSPM_J21160234,train,LSPM_J2116+0234,train,1,False
399794186,Kepler-1272,train,TIC_399794186,test,1,True
399794329,Kepler-30,train,TIC_399794329,test,1,True
399794420,Kepler-686,train,TIC_399794420,train,1,False
417931300,TOI-2068,train,TIC_417931300,train,1,False
424009747,HD_3765,train,TIC_424009747,train,1,False
424435940,WASP-58,train,TIC_424435940,train,1,False
437444661,K2-32,train,TIC_437444661,test,1,True
437444661,K2-32,train,TIC_437444661,test,1,True
439501096,HD_9174,train,TIC_439501096,test,1,True
441712711,24_Boo,train,TIC_441712711,test,1,True
441738827,TOI-2084,train,TIC_441738827,train,0,False
458350670,HD_29021,test,TIC_458350670,test,1,False
459837008,TOI-2267_A,train,TOI-2267_B,train,1,False
470171739,TOI-4153,train,TIC_470171739,test,1,True
470171739,TOI-4153,train,TIC_470171739,test,1,True
1588633599,MOA-2013-BLG-605L,train,OGLE-2012-BLG-0950L,train,1,False
