kepid,kepoi_name,koi_disposition,koi_period,koi_prad,koi_srad,koi_steff,koi_smass,label
2438061,K06270.01,FALSE POSITIVE,2.442941283,48.18,1.0,5780.0,1.0,0
3936658,K03180.01,FALSE POSITIVE,71.1577054,,,,,0
5956038,K05214.01,FALSE POSITIVE,256.846143,46743.4,4.329,5208.0,1.429,0
8613338,K06184.01,FALSE POSITIVE,527.29093,1.3,0.919,5671.0,0.9,0
6679504,K07788.01,FALSE POSITIVE,0.798467681,0.82,0.733,5575.0,0.706,0
8356054,K03424.01,FALSE POSITIVE,17.081202417,39.24,0.708,5431.0,0.769,0
7800285,K05427.01,FALSE POSITIVE,0.533000886,40.94,1.064,5934.0,0.885,0
9913481,K07253.01,FALSE POSITIVE,3.50474265,200.24,3.682,7624.0,2.068,0
5124254,K03099.01,FALSE POSITIVE,14.0498182,1.45,0.652,4228.0,0.642,0
12164634,K03491.01,FALSE POSITIVE,89.3313828,8.02,1.467,6860.0,1.35,0
10091257,K07284.01,FALSE POSITIVE,1.70192371,40.15,1.262,5826.0,1.091,0
8429566,K02511.01,FALSE POSITIVE,3.732261,1.09,0.867,5762.0,0.859,0
9119568,K03087.01,FALSE POSITIVE,5.54867998,0.68,0.835,5258.0,0.831,0
8747222,K05569.01,FALSE POSITIVE,1.667482003,15.15,6.72,4678.0,0.94,0
10205598,K08198.01,FALSE POSITIVE,373.89398,2.51,0.699,5263.0,0.668,0
9692345,K01485.01,FALSE POSITIVE,0.687895191,1.35,0.651,4478.0,0.637,0
8848271,K01256.01,FALSE POSITIVE,9.991625291,38.93,1.096,5874.0,0.954,0
5372966,K00832.01,FALSE POSITIVE,9.286358079,17.61,0.821,5670.0,0.82,0
5816144,K06137.02,FALSE POSITIVE,7.384681,1.22,1.021,6174.0,1.055,0
6205468,K01037.01,FALSE POSITIVE,3.7228551,5.67,0.863,5873.0,0.954,0
9911882,K02429.01,FALSE POSITIVE,1.595630597,17.94,0.729,5632.0,0.816,0
10751515,K03589.01,FALSE POSITIVE,56.40651043,21.93,0.647,5011.0,0.632,0
12216278,K02565.01,FALSE POSITIVE,2.01948607,2.15,0.944,5884.0,0.985,0
8962007,K07917.01,FALSE POSITIVE,1.41435861,0.74,0.994,5470.0,0.837,0
4565985,K06424.01,FALSE POSITIVE,17.51191534,52.64,20.888,4029.0,0.972,0
3866536,K04423.01,FALSE POSITIVE,7.65270746,3.21,0.963,6328.0,1.026,0
7974634,K06168.03,FALSE POSITIVE,404.701927,1.94,1.248,6443.0,1.198,0
4861791,K02870.01,FALSE POSITIVE,5.62950902,2.11,0.898,5822.0,0.994,0
7672940,K01463.01,FALSE POSITIVE,1064.2680956,33.63,2.173,6340.0,1.174,0
6939670,K06792.01,FALSE POSITIVE,4.238855579,38.01,0.804,5655.0,0.716,0
7351237,K00879.01,FALSE POSITIVE,25.64384513,,,,,0
3241619,K06312.01,FALSE POSITIVE,1.703347524,47.62,0.648,5325.0,0.695,0
6699368,K01694.01,FALSE POSITIVE,3.690317047,20.23,1.054,6120.0,1.003,0
11466960,K03917.01,FALSE POSITIVE,0.695954898,2.58,1.425,6737.0,1.303,0
8569819,K07062.01,FALSE POSITIVE,20.849919614,2912.48,1.984,7355.0,1.581,0
3342952,K03215.01,FALSE POSITIVE,1.039046871,0.48,0.976,5689.0,0.918,0
5709103,K07736.01,FALSE POSITIVE,0.664727127,0.46,1.116,6143.0,1.001,0
3248019,K01759.01,FALSE POSITIVE,1.334104585,44.9,1.083,6319.0,1.007,0
3342467,K03278.01,FALSE POSITIVE,88.1804682,2.78,0.839,5497.0,0.952,0
11356602,K07439.01,FALSE POSITIVE,323.2575,2.01,1.198,5866.0,1.045,0
11100670,K02885.01,FALSE POSITIVE,20.2340219,0.99,0.71,5528.0,0.788,0
3734868,K00805.01,FALSE POSITIVE,10.328035714,13.28,1.024,5627.0,0.874,0
7090801,K06817.01,FALSE POSITIVE,548.08441,2.35,1.0,5780.0,1.0,0
8553907,K07056.01,FALSE POSITIVE,42.032096076,79.17,1.117,6618.0,1.128,0
5387843,K01762.01,FALSE POSITIVE,0.870693883,2.09,0.883,5985.0,0.94,0
