kepid,label,koi_disposition,n_points,status
7284688,0,FALSE POSITIVE,65504,Success
8323753,0,FALSE POSITIVE,65504,Success
6356885,0,FALSE POSITIVE,65031,Success
3248696,0,FALSE POSITIVE,51964,Success
6850665,0,FALSE POSITIVE,65504,Success
2712825,0,FALSE POSITIVE,65504,Success
5389184,0,FALSE POSITIVE,65031,Success
4274816,0,FALSE POSITIVE,51964,Success
7690855,0,FALSE POSITIVE,65031,Success
8957954,0,FALSE POSITIVE,65031,Success
8516349,0,FALSE POSITIVE,65031,Success
10925113,0,FALSE POSITIVE,55190,Success
3555178,0,FALSE POSITIVE,52437,Success
10486425,0,FALSE POSITIVE,47736,Success
2438061,0,FALSE POSITIVE,46582,Success
3936658,0,FALSE POSITIVE,65504,Success
5956038,0,FALSE POSITIVE,65031,Success
8613338,0,FALSE POSITIVE,65504,Success
6679504,0,FALSE POSITIVE,63405,Success
8356054,0,FALSE POSITIVE,28968,Success
7800285,0,FALSE POSITIVE,65031,Success
9913481,0,FALSE POSITIVE,52349,Success
5124254,0,FALSE POSITIVE,65031,Success
12164634,0,FALSE POSITIVE,65031,Success
10091257,0,FALSE POSITIVE,52349,Success
8429566,0,FALSE POSITIVE,65031,Success
9119568,0,FALSE POSITIVE,65504,Success
8747222,0,FALSE POSITIVE,65504,Success
10205598,0,FALSE POSITIVE,65031,Success
9692345,0,FALSE POSITIVE,65031,Success
8848271,0,FALSE POSITIVE,65031,Success
5372966,0,FALSE POSITIVE,51964,Success
5816144,0,FALSE POSITIVE,65031,Success
6205468,0,FALSE POSITIVE,63405,Success
9911882,0,FALSE POSITIVE,51876,Success
10751515,0,FALSE POSITIVE,42035,Success
12216278,0,FALSE POSITIVE,55190,Success
8962007,0,FALSE POSITIVE,65031,Success
4565985,0,FALSE POSITIVE,52437,Success
3866536,0,FALSE POSITIVE,51964,Success
7974634,0,FALSE POSITIVE,65031,Success
4861791,0,FALSE POSITIVE,55190,Success
7672940,0,FALSE POSITIVE,65504,Success
6939670,0,FALSE POSITIVE,65031,Success
7351237,0,FALSE POSITIVE,63405,Success
3241619,0,FALSE POSITIVE,65504,Success
6699368,0,FALSE POSITIVE,65031,Success
11466960,0,FALSE POSITIVE,65504,Success
8569819,0,FALSE POSITIVE,65504,Success
3342952,0,FALSE POSITIVE,65504,Success
5709103,0,FALSE POSITIVE,65504,Success
3248019,0,FALSE POSITIVE,46263,Success
3342467,0,FALSE POSITIVE,65031,Success
11356602,0,FALSE POSITIVE,65504,Success
11100670,0,FALSE POSITIVE,30594,Success
3734868,0,FALSE POSITIVE,59289,Success
7090801,0,FALSE POSITIVE,65031,Success
8553907,0,FALSE POSITIVE,65504,Success
5387843,0,FALSE POSITIVE,65031,Success
